Date,Day,DAS,DAT,Treatment_ID,System_ID,Crop_ID,Location_ID,System_Type,System_Area_m2,Plant_Count,Flow_Rate_L_h,System_Description,,Temp_C,Solar_Rad_MJ,VPD_kPa,CO2_umol_mol, ,ETO_Ref_mm,ETC_Prime_mm,Transpiration_mm,Water_Total_L,Tank_Volume_L,WUE_kg_m3,  ,pH,EC,pH_Change_Uptake,pH_Drift,Acid_Dosed_mL_L,Base_Dosed_mL_L,Buffer_Capacity,   ,N-NO3_mg_L,P-PO4_mg_L,K_mg_L,Ca_mg_L,Mg_mg_L,    ,RZT_C,RZT_Growth_Factor,RZT_Nutrient_Factor,Env_Photo_Factor,Env_Transp_Factor,     ,V_Stage,Leaf_Number,Leaf_Area_m2,Avg_Leaf_Area_cm2,      ,Growth_Stage,Total_Biomass_g,LAI,Plant_Height_cm,Daily_Growth_Rate_g_day,       ,Integrated_Stress,Temperature_Stress,Water_Stress,Nutrient_Stress,Nitrogen_Stress,Salinity_Stress,        ,Shoot_Dry_Weight_g,Leaf_Dry_Weight_g,Stem_Dry_Weight_g,Shoot_Fresh_Weight_g,Leaf_Fresh_Weight_g,Stem_Fresh_Weight_g,Root_Dry_Weight_g,Root_Fresh_Weight_g,Leaf_Growth_Rate_g_day,Stem_Growth_Rate_g_day,Root_Growth_Rate_g_day,         ,Fine_Root_Length_cm,Coarse_Root_Length_cm,Root_Length_Density_cm_cm3,Root_Surface_Area_cm2,Root_Volume_cm3,          ,Jmax_25_umol_m2_s,Quantum_Efficiency,Rubisco_Limited_umol_m2_s,Light_Limited_umol_m2_s,CO2_Compensation_umol_mol,Intercellular_CO2_umol_mol,Photosynthesis_Rate,Net_Assimilation,Maintenance_Respiration,Growth_Respiration,Respiration_Rate,Maint_Resp_Leaves,Maint_Resp_Stems,Maint_Resp_Roots,Growth_Resp_Leaves,Growth_Resp_Stems,Growth_Resp_Roots,Temperature_Acclimation,Age_Factor,Light_Interception,Sunlit_LAI,Shaded_LAI,Total_Absorbed_PPFD_umol_m2_s,Canopy_Photosynthesis_umol_m2_s,Canopy_Layers,PPFD_Top_umol_m2_s,PPFD_Bottom_umol_m2_s,Light_Extinction_Coeff,N_Pool_Structural_g,N_Pool_Metabolic_g,N_Pool_Storage_g,N_Pool_Transport_g,N_Remobilization_g,N_Critical_Conc,Nitrogen_Uptake_mg,Nitrogen_Demand_mg,Leaf_Nitrogen_Conc,Root_Nitrogen_Conc,Nitrogen_Remobilization,Accumulated_GDD,Thermal_Time_Daily,Development_Rate,Is_Vegetative,Is_Reproductive,Root_Cohorts,Root_Activity_Young,Root_Activity_Old,Root_Surface_Active_cm2,Root_Turnover_Rate,Cultivar_Adaptation_Index,Cultivar_Yield_Potential,Genetic_Photosynthesis_Capacity,Genetic_EC_Tolerance,Genetic_Nitrate_Efficiency,Phosphorus_Uptake_mg,Phosphorus_Remobilization,Potassium_Remobilization,Senescence_Rate,Leaf_Senescence_Rate,Temperature_Stress_Photosynthesis,Temperature_Stress_Growth,Cold_Stress_Factor,Heat_Stress_Factor,Temperature_Stress_Factor,Controlled_Humidity_pct,VPD_Target_kPa,Environmental_Cost,Phosphate_H2PO4_mg_L,Phosphate_HPO4_mg_L,Nutrient_Precipitation_mg_L,Stress_Interaction_water_interaction,Stress_Interaction_temperature_interaction,Stress_Interaction_nutrient_interaction,Stress_Interaction_light_interaction,Stress_Interaction_salinity_interaction,Stress_Interaction_oxygen_interaction,Stress_Interaction_ph_interaction,Acclimation_water,Acclimation_temperature,Acclimation_nutrient,Acclimation_light,Acclimation_salinity,Acclimation_oxygen,Acclimation_ph,Cumulative_Damage_water,Cumulative_Damage_temperature,Cumulative_Damage_nutrient,Cumulative_Damage_light,Cumulative_Damage_salinity,Cumulative_Damage_oxygen,Cumulative_Damage_ph
2025-09-02,1,17,1,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,22.5,18.2,0.95,728.0,,3.78,2.72,0.01,0.49,499.51,0.1,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,200.0,50.0,300.0,150.0,50.0,,24.12,0.82,1.23,1.0,1.0,,2.0,2,0.007,35.2,,V4,1.0,0.084,10.1,0.0,,0.62,0.01,0.03,0.2,0.0,0.5,,0.78,0.7,0.08,18.3,13.9,2.2,0.22,1.9,0.0,0.0,0.0,,2.8,0.4,0.0,0.35,0.01,,125.0,0.24,0.1,18.63,42.75,728.0,0.01,-0.03,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.03,0.05,0.07,0.01,57.86,2.89,5,819.0,731.59,0.81,0.0,0.0,0.0,0.0,0.02,0.0,0.0,10.0,3.82,2.38,0.0,146.65,16.65,21.65,True,False,17,1.0,0.8,0.35,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.18,0.0,0.0,0.0,,,,70.75,0.71,0.05,15.32,0.97,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.01
2025-09-03,2,18,2,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,23.1,19.8,1.07,633.6,,4.23,3.06,0.01,0.6,498.92,3.62,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,199.69,49.92,299.74,149.91,49.97,,25.13,0.8,0.97,0.94,0.91,,2.0,2,0.009,44.16,,V4,1.05,0.106,10.2,0.05,,0.62,0.03,0.05,0.2,0.0,0.5,,0.81,0.72,0.09,18.2,13.7,2.4,0.24,2.0,0.02,0.01,0.02,,3.6,0.4,0.0,0.41,0.01,,125.0,0.24,0.09,18.99,42.75,633.6,0.07,0.03,0.04,0.01,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.01,1.05,0.06,0.09,0.02,77.96,3.9,5,891.0,773.14,0.81,0.0,0.0,0.0,0.0,0.02,0.0,0.0,10.0,3.71,2.21,0.0,168.99,17.19,22.35,True,False,22,1.0,0.8,0.41,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,71.48,0.72,0.09,15.28,0.97,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,0.0,0.02,0.02
2025-09-04,3,19,3,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,21.8,17.5,0.84,560.0,,3.37,2.42,0.0,0.44,498.47,5.126,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,199.26,49.8,299.38,149.78,49.93,,24.75,0.66,0.3,1.0,1.0,,2.0,2,0.006,30.66,,V5,1.1,0.074,10.3,0.05,,0.62,0.03,0.03,0.21,0.0,0.5,,0.84,0.75,0.1,17.4,12.9,2.4,0.25,2.0,0.02,0.01,0.02,,4.5,0.4,0.0,0.49,0.01,,125.0,0.24,0.07,17.08,42.75,560.0,0.08,0.04,0.04,0.01,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.95,1.06,0.04,0.06,0.01,48.77,2.44,5,787.5,713.27,0.81,0.0,0.0,0.0,0.0,0.02,0.0,0.0,10.0,3.59,2.06,0.0,189.82,16.02,20.83,True,False,28,1.0,0.8,0.49,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,72.17,0.74,0.14,15.24,0.97,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.02,0.03,0.0,0.01,0.03,0.01,0.01,0.03,0.03,0.0,0.03,0.0,0.03,0.03
2025-09-05,4,20,4,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,20.9,16.2,0.69,583.2,,2.85,2.06,0.01,0.52,497.95,1.565,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,198.76,49.67,298.96,149.63,49.88,,24.06,0.63,0.3,1.0,1.0,,2.0,2,0.007,36.93,,V5,1.12,0.089,10.3,0.02,,0.62,0.05,0.02,0.21,0.0,0.5,,0.85,0.75,0.1,17.0,12.6,2.4,0.26,1.9,0.01,0.0,0.01,,5.5,0.5,0.0,0.59,0.01,,125.0,0.24,0.07,16.32,42.75,583.2,0.05,0.01,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.94,1.08,0.05,0.08,0.01,53.88,2.69,5,729.0,646.87,0.81,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.56,2.01,0.0,209.59,15.21,19.77,True,False,36,1.0,0.8,0.59,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,72.82,0.75,0.18,15.19,0.97,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.02,0.04,0.0,0.01,0.04,0.01,0.01,0.04,0.04,0.0,0.04,0.0,0.03,0.04
2025-09-06,5,21,5,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,22.3,18.9,0.97,680.4,,3.86,2.8,0.01,0.58,497.37,3.625,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,198.17,49.51,298.47,149.45,49.82,,24.63,0.75,0.71,1.0,1.0,,2.0,2,0.008,41.94,,V6,1.16,0.101,10.4,0.04,,0.62,0.05,0.05,0.21,0.0,0.5,,0.88,0.77,0.11,15.9,11.7,2.4,0.27,1.9,0.02,0.01,0.01,,6.4,0.6,0.0,0.67,0.01,,125.0,0.24,0.09,18.45,42.75,680.4,0.07,0.03,0.04,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,1.0,1.09,0.06,0.09,0.01,75.4,3.77,5,850.5,734.38,0.81,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.47,1.91,0.0,231.0,16.47,21.41,True,False,42,1.0,0.8,0.67,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,73.41,0.76,0.21,15.13,0.96,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.03,0.05,0.0,0.01,0.05,0.01,0.01,0.05,0.04,0.0,0.05,0.0,0.04,0.05
2025-09-07,6,22,6,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,24.2,20.5,1.27,820.0,,4.87,3.46,0.0,0.28,497.08,7.318,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,197.46,49.32,297.88,149.24,49.75,,26.0,0.81,1.12,0.79,0.68,,2.0,2,0.004,18.3,,V6,1.23,0.044,10.5,0.07,,0.63,0.08,0.1,0.21,0.0,0.5,,0.93,0.8,0.12,15.9,11.6,2.5,0.3,2.0,0.03,0.01,0.03,,7.0,0.6,0.0,0.68,0.01,,125.0,0.24,0.13,20.87,42.75,820.0,0.1,0.04,0.04,0.01,0.05,0.04,0.0,0.0,0.0,0.0,0.0,1.05,1.1,0.03,0.04,0.01,34.69,1.73,5,922.5,869.0,0.82,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.33,1.74,0.0,254.21,17.85,23.2,True,False,44,1.0,0.8,0.68,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,73.92,0.77,0.23,15.06,0.96,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.03,0.06,0.0,0.02,0.06,0.01,0.02,0.05,0.05,0.0,0.06,0.0,0.05,0.06
2025-09-08,7,23,7,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,25.1,21.8,1.43,872.0,,5.44,3.88,0.01,0.37,496.71,0.1,,6.0,5.0,-0.0,0.0,0.0,0.0,3.75,,196.62,49.1,297.18,148.99,49.66,,27.09,0.8,1.01,0.65,0.48,,2.0,2,0.005,24.59,,V7,1.23,0.059,10.6,0.0,,0.64,0.1,0.16,0.21,0.0,0.5,,0.93,0.8,0.12,15.0,11.0,2.4,0.3,2.0,0.0,0.0,0.0,,7.5,0.6,0.0,0.69,0.01,,125.0,0.24,0.15,22.12,42.75,872.0,0.04,-0.0,0.04,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,1.04,1.12,0.04,0.05,0.01,49.13,2.46,5,981.0,905.11,0.82,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.33,1.74,0.0,276.42,17.09,22.22,True,False,46,1.0,0.8,0.69,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,74.34,0.77,0.25,15.33,0.98,0.0,0.01,0.0,0.0,0.0,0.26,0.0,0.0,0.04,0.06,0.0,0.02,0.07,0.01,0.02,0.06,0.06,0.0,0.07,0.0,0.06,0.07
2025-09-09,8,24,8,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,24.7,20.2,1.34,888.8,,5.07,3.63,0.01,0.44,496.27,1.473,,6.01,5.0,-0.0,0.0,0.0,0.0,3.75,,200.0,50.0,300.0,150.0,50.0,,27.28,0.71,0.48,0.73,0.59,,2.0,2,0.006,29.56,,V7,1.24,0.071,10.7,0.01,,0.64,0.13,0.13,0.21,0.0,0.5,,0.94,0.81,0.13,14.8,10.8,2.4,0.31,2.0,0.01,0.0,0.01,,7.7,0.6,0.0,0.69,0.01,,125.0,0.24,0.15,21.42,42.75,888.8,0.06,0.01,0.04,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.99,1.14,0.04,0.06,0.01,54.32,2.72,5,909.0,824.92,0.82,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.3,1.71,0.0,299.1,17.44,22.68,True,False,48,0.98,0.78,0.68,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,74.66,0.78,0.25,15.25,0.98,0.0,0.01,0.01,0.0,0.0,0.26,0.0,0.0,0.04,0.06,0.0,0.02,0.08,0.02,0.02,0.06,0.07,0.0,0.08,0.0,0.07,0.08
2025-09-10,9,25,9,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,23.8,19.1,1.15,840.4,,4.44,3.2,0.01,0.55,495.72,2.34,,6.01,5.0,-0.0,0.0,0.0,0.0,3.75,,199.03,49.74,299.19,149.71,49.9,,26.81,0.65,0.3,0.88,0.82,,3.0,3,0.008,25.77,,V8,1.27,0.093,10.7,0.03,,0.62,0.1,0.08,0.21,0.0,0.5,,0.95,0.82,0.13,14.9,10.9,2.4,0.32,2.1,0.01,0.01,0.01,,7.9,0.6,0.0,0.7,0.01,,125.0,0.24,0.13,20.25,42.75,840.4,0.07,0.02,0.04,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.96,1.15,0.06,0.08,0.01,66.25,3.31,5,859.5,756.85,0.82,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.25,1.66,0.0,322.27,17.82,23.17,True,False,49,0.97,0.77,0.68,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,74.88,0.79,0.25,15.17,0.97,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.05,0.06,0.0,0.03,0.09,0.02,0.03,0.07,0.07,0.0,0.09,0.0,0.08,0.09
2025-09-11,10,26,10,DEFAULT,CROPGRO_DEFAULT_CSV_CULTIVAR,LETTUCE_ADVANCED,HYDROPONIC_LAB,,1.0,12,50.0,,,22.1,17.8,0.9,854.4,,3.6,2.63,0.01,0.66,495.06,2.472,,6.01,5.0,-0.0,0.0,0.0,0.0,3.75,,198.1,49.49,298.41,149.43,49.81,,25.59,0.58,0.3,1.0,1.0,,3.0,3,0.01,31.81,,V8,1.3,0.115,10.8,0.03,,0.62,0.09,0.06,0.21,0.0,0.5,,0.98,0.84,0.14,14.9,10.8,2.5,0.33,2.2,0.02,0.01,0.01,,8.4,0.6,0.0,0.73,0.01,,125.0,0.24,0.11,18.7,42.75,854.4,0.07,0.03,0.04,0.0,0.05,0.04,0.0,0.0,0.0,0.0,0.0,0.92,1.17,0.07,0.1,0.01,79.99,4.0,5,801.0,675.96,0.83,0.0,0.0,0.0,0.0,0.02,0.0,0.01,10.0,3.19,1.6,0.0,343.45,16.29,21.18,True,False,52,0.96,0.76,0.7,0.02,0.8,0.85,1.0,1.8,0.85,0.0,0.0,0.0,0.17,0.0,0.0,0.0,,,,74.99,0.79,0.24,15.1,0.97,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.05,0.06,0.0,0.03,0.1,0.02,0.03,0.08,0.08,0.0,0.1,0.0,0.09,0.1
