category,parameter_name,value,unit,description
# Water Uptake Model Parameters
water_parameters,psychrometric_constant,0.665,kPa_°C,Psychrometric constant for Penman-Monteith
water_parameters,wind_speed,2.0,m_s,Wind speed for evapotranspiration calculations
water_parameters,net_radiation_factor,0.77,dimensionless,Fraction of solar radiation converted to net radiation
water_parameters,radiation_offset,2.45,MJ_m2_day,Radiation offset for net radiation calculation
water_parameters,base_crop_coefficient,2.0,dimensionless,Base crop coefficient for lettuce
water_parameters,lai_coefficient_factor,3.0,m2_m2,LAI scaling factor for crop coefficient
water_parameters,vegetative_stage_factor,0.8,dimensionless,Crop coefficient multiplier for vegetative stage
water_parameters,head_formation_stage_factor,1.2,dimensionless,Crop coefficient multiplier for head formation
water_parameters,mature_stage_factor,0.9,dimensionless,Crop coefficient multiplier for mature stage

water_parameters,temperature_sensitivity,0.15,°C_inverse,Temperature response sensitivity factor
water_parameters,optimal_vpd_min,0.8,kPa,Minimum optimal vapor pressure deficit
water_parameters,optimal_vpd_max,1.5,kPa,Maximum optimal vapor pressure deficit
water_parameters,vpd_sensitivity,0.3,kPa_inverse,VPD response sensitivity factor
water_parameters,metabolic_water_per_biomass,0.4,L_g_biomass,Metabolic water demand per unit biomass
water_parameters,metabolic_water_per_lai,0.1,L_LAI,Metabolic water demand per LAI unit
water_parameters,temperature_tolerance,15.0,°C,Temperature tolerance range for water uptake
water_parameters,minimum_temperature_factor,0.3,dimensionless,Minimum temperature response factor
water_parameters,stem_biomass_fraction,0.3,dimensionless,Fraction of total biomass allocated to stem
water_parameters,leaf_area_to_biomass_ratio,0.1,g_per_m2,Ratio for converting leaf area to biomass
water_parameters,water_uptake_sensitivity_low,0.06,per_°C,Water uptake sensitivity per °C below optimum for RZT
water_parameters,water_uptake_sensitivity_high,0.10,per_°C,Water uptake sensitivity per °C above optimum for RZT
water_parameters,minimum_vpd_threshold,0.1,kPa,Minimum vapor pressure deficit threshold
water_parameters,minimum_et0_threshold,0.1,mm/day,Minimum reference evapotranspiration threshold
water_parameters,max_lai_coverage_factor,2.0,dimensionless,Maximum LAI for full coverage
water_parameters,max_root_surface_area_factor,2.0,dimensionless,Maximum root surface area factor
water_parameters,cavitation_gradient_denominator,1.0,MPa,Cavitation gradient denominator
water_parameters,temperature_response_exponent_denominator,200,dimensionless,Temperature response exponent denominator
water_parameters,vpd_effect_divisor,1.0,kPa,VPD effect divisor
water_parameters,transpiration_base_rate_scale_factor,2.0,dimensionless,Base rate scaling factor for transpiration
water_parameters,transpiration_scaling_multiplier,0.1,dimensionless,Transpiration scaling multiplier
water_parameters,lai_coefficient_threshold,0.1,dimensionless,LAI threshold for coefficient calculation
water_parameters,minimum_coverage_factor,0.01,dimensionless,Minimum coverage factor when LAI is zero
water_parameters,minimum_cavitation_factor,0.1,dimensionless,Minimum cavitation factor
water_parameters,maximum_vpd_effect,2.0,dimensionless,Maximum VPD effect multiplier


# Environmental Control System Parameters
environment,target_vpd,1.0,kPa,Target vapor pressure deficit for optimal growth
environment,vpd_tolerance,0.2,kPa,Acceptable VPD deviation from target
environment,min_humidity,45.0,%,Minimum allowed relative humidity
environment,max_humidity,75.0,%,Maximum allowed relative humidity
environment,day_temp,22.0,°C,Optimal daytime temperature
environment,night_temp,18.0,°C,Optimal nighttime temperature
environment,temperature_tolerance,2.0,°C,Acceptable temperature deviation
environment,target_co2,800.0,ppm,Target CO2 concentration during photoperiod
environment,ambient_co2,400.0,ppm,Ambient atmospheric CO2 concentration
environment,co2_tolerance,50.0,ppm,Acceptable CO2 deviation from target
environment,light_hours,16.0,h,Photoperiod duration per day
environment,light_intensity_control,200.0,μmol_m2_s,Light intensity setpoint for control
environment,co2_enrichment_start_hour,6.0,h,Hour to begin CO2 enrichment
environment,humidity_deadband,3.0,%,Humidity control deadband to prevent oscillation
environment,max_temperature_change_per_hour,3.0,°C_h,Maximum temperature change rate for HVAC
environment,ambient_temperature,20.0,°C,External ambient temperature
environment,thermal_mass_factor,0.05,h_inverse,Building thermal inertia factor
environment,base_co2_loss_rate,20.0,ppm_h,Baseline CO2 loss rate from ventilation
environment,min_co2_concentration,300.0,ppm,Minimum allowable CO2 concentration
environment,max_co2_concentration,1200.0,ppm,Maximum allowable CO2 concentration
environment,light_saturation_threshold,800.0,μmol_m2_s,Light saturation threshold for CO2 response
environment,co2_response_vmax,2.0,dimensionless,Maximum CO2 photosynthesis enhancement factor
environment,co2_response_km,200.0,ppm,Half-saturation CO2 concentration for response
environment,max_co2_enhancement_factor,2.2,dimensionless,Maximum theoretical CO2 enhancement factor
environment,co2_enrichment_duration,8.0,h,Duration of CO2 enrichment period
environment,co2_enrichment_strategy,morning_only,text,CO2 enrichment timing strategy
environment,co2_morning_target,1000.0,ppm,CO2 target during morning enrichment
environment,co2_afternoon_target,600.0,ppm,CO2 target during afternoon period

# PID Control Parameters
environment,pid_humidity_kp,1.2,dimensionless,Proportional gain for humidity PID control
environment,pid_humidity_ki,0.1,dimensionless,Integral gain for humidity PID control
environment,pid_humidity_kd,0.05,dimensionless,Derivative gain for humidity PID control
environment,pid_co2_kp,0.8,dimensionless,Proportional gain for CO2 PID control
environment,pid_co2_ki,0.05,dimensionless,Integral gain for CO2 PID control
environment,pid_co2_kd,0.02,dimensionless,Derivative gain for CO2 PID control
environment,pid_temperature_kp,2.0,dimensionless,Proportional gain for temperature PID control
environment,pid_temperature_ki,0.2,dimensionless,Integral gain for temperature PID control
environment,pid_temperature_kd,0.1,dimensionless,Derivative gain for temperature PID control

# Control Equipment Parameters
control_equipment_parameters,humidifier_capacity,5.0,L_h,Maximum humidifier water addition rate
control_equipment_parameters,dehumidifier_capacity,8.0,L_h,Maximum dehumidifier water removal rate
control_equipment_parameters,humidifier_efficiency,0.12,%_per_L_h,Humidity increase per liter per hour
control_equipment_parameters,dehumidifier_efficiency,0.15,%_per_L_h,Humidity decrease per liter per hour
control_equipment_parameters,co2_injection_rate,100.0,ppm_min,Maximum CO2 injection rate
control_equipment_parameters,co2_sensor_accuracy,25.0,ppm,CO2 sensor measurement accuracy
control_equipment_parameters,co2_mixing_time,5.0,min,Time for CO2 to mix throughout growing area
control_equipment_parameters,air_exchange_rate,2.0,ACH,Air changes per hour for ventilation
control_equipment_parameters,circulation_fan_power,150.0,W,Circulation fan power consumption

# Nutrient Model Parameters
nutrient_parameters,ec_factor_n_no3,0.071,dS_m_per_mg_L,EC contribution factor for nitrate nitrogen
nutrient_parameters,ec_factor_n_nh4,0.073,dS_m_per_mg_L,EC contribution factor for ammonium nitrogen
nutrient_parameters,ec_factor_p_po4,0.058,dS_m_per_mg_L,EC contribution factor for phosphate phosphorus
nutrient_parameters,ec_factor_k,0.064,dS_m_per_mg_L,EC contribution factor for potassium
nutrient_parameters,ec_factor_ca,0.050,dS_m_per_mg_L,EC contribution factor for calcium
nutrient_parameters,ec_factor_mg,0.082,dS_m_per_mg_L,EC contribution factor for magnesium
nutrient_parameters,ec_factor_s_so4,0.065,dS_m_per_mg_L,EC contribution factor for sulfate sulfur
nutrient_parameters,ec_factor_fe,0.018,dS_m_per_mg_L,EC contribution factor for iron
nutrient_parameters,ec_factor_mn,0.019,dS_m_per_mg_L,EC contribution factor for manganese
nutrient_parameters,ec_factor_zn,0.015,dS_m_per_mg_L,EC contribution factor for zinc
nutrient_parameters,ec_factor_cu,0.016,dS_m_per_mg_L,EC contribution factor for copper
nutrient_parameters,ec_factor_b,0.014,dS_m_per_mg_L,EC contribution factor for boron
nutrient_parameters,ec_factor_mo,0.010,dS_m_per_mg_L,EC contribution factor for molybdenum
nutrient_parameters,minimum_volume_fraction,0.1,dimensionless,Minimum solution volume fraction
nutrient_parameters,xylem_transport_capacity,0.8,L_day_mg,Maximum xylem transport rate per unit concentration
nutrient_parameters,phloem_transport_capacity,0.3,g_day_mg,Maximum phloem transport rate per unit concentration
nutrient_parameters,temperature_q10,2.1,dimensionless,Temperature response coefficient for nutrient processes
nutrient_parameters,transpiration_coupling,0.7,dimensionless,Coupling factor for transpiration-driven transport
nutrient_parameters,ec_uptake_high_threshold,1.5,dimensionless,High EC ratio threshold for uptake modification
nutrient_parameters,ec_uptake_low_threshold,0.5,dimensionless,Low EC ratio threshold for uptake modification
nutrient_parameters,ec_uptake_modifier_n_high,0.3,dimensionless,Nitrogen uptake modifier under high EC
nutrient_parameters,ec_uptake_modifier_p_high,0.4,dimensionless,Phosphorus uptake modifier under high EC
nutrient_parameters,ec_uptake_modifier_k_high,0.2,dimensionless,Potassium uptake modifier under high EC
nutrient_parameters,ec_uptake_modifier_ca_high,0.1,dimensionless,Calcium uptake modifier under high EC
nutrient_parameters,ec_uptake_modifier_n_low,0.2,dimensionless,Nitrogen uptake modifier under low EC
nutrient_parameters,ec_uptake_modifier_p_low,0.3,dimensionless,Phosphorus uptake modifier under low EC
nutrient_parameters,ec_uptake_modifier_fe_low,0.4,dimensionless,Iron uptake modifier under low EC

# Michaelis-Menten Uptake Kinetics
nutrient_parameters,kinetics_n_no3_vmax,0.08,mg_cm2_day,Maximum uptake rate for nitrate nitrogen
nutrient_parameters,kinetics_n_no3_km,15.0,mg_L,Michaelis constant for nitrate nitrogen
nutrient_parameters,kinetics_n_no3_min_conc,0.5,mg_L,Minimum concentration for nitrate nitrogen uptake
nutrient_parameters,kinetics_n_nh4_vmax,0.05,mg_cm2_day,Maximum uptake rate for ammonium nitrogen
nutrient_parameters,kinetics_n_nh4_km,5.0,mg_L,Michaelis constant for ammonium nitrogen
nutrient_parameters,kinetics_n_nh4_min_conc,0.2,mg_L,Minimum concentration for ammonium nitrogen uptake
nutrient_parameters,kinetics_p_po4_vmax,0.008,mg_cm2_day,Maximum uptake rate for phosphate phosphorus
nutrient_parameters,kinetics_p_po4_km,3.0,mg_L,Michaelis constant for phosphate phosphorus
nutrient_parameters,kinetics_p_po4_min_conc,0.1,mg_L,Minimum concentration for phosphate phosphorus uptake
nutrient_parameters,kinetics_k_vmax,0.06,mg_cm2_day,Maximum uptake rate for potassium
nutrient_parameters,kinetics_k_km,25.0,mg_L,Michaelis constant for potassium
nutrient_parameters,kinetics_k_min_conc,1.0,mg_L,Minimum concentration for potassium uptake
nutrient_parameters,kinetics_ca_vmax,0.04,mg_cm2_day,Maximum uptake rate for calcium
nutrient_parameters,kinetics_ca_km,40.0,mg_L,Michaelis constant for calcium
nutrient_parameters,kinetics_ca_min_conc,2.0,mg_L,Minimum concentration for calcium uptake
nutrient_parameters,kinetics_mg_vmax,0.02,mg_cm2_day,Maximum uptake rate for magnesium
nutrient_parameters,kinetics_mg_km,12.0,mg_L,Michaelis constant for magnesium
nutrient_parameters,kinetics_mg_min_conc,0.5,mg_L,Minimum concentration for magnesium uptake

# Canopy Architecture Model Parameters
canopy_parameters,number_of_layers,5,dimensionless,Number of canopy layers for light calculations
canopy_parameters,max_lai,8.0,m2_m2,Maximum possible leaf area index for the crop
canopy_parameters,extinction_coefficient,0.6,dimensionless,Base light extinction coefficient
canopy_parameters,diffuse_extinction_coeff,0.8,dimensionless,Extinction coefficient multiplier for diffuse light
canopy_parameters,beam_extinction_coeff,0.5,dimensionless,Extinction coefficient multiplier for direct beam light
canopy_parameters,row_spacing,0.3,m,Distance between crop rows
canopy_parameters,mean_leaf_angle,45.0,degrees,Mean leaf angle from horizontal
canopy_parameters,canopy_width,0.25,m,Width of individual plant canopy
canopy_parameters,leaf_angle_distribution,spherical,text,Type of leaf angle distribution
canopy_parameters,leaf_angle_variance,20.0,degrees,Variance in leaf angle distribution
canopy_parameters,plant_spacing,0.2,m,Distance between plants within a row
canopy_parameters,plant_height,0.3,m,Maximum plant height at maturity
canopy_parameters,leaf_reflectance,0.08,dimensionless,Fraction of incident light reflected by leaves
canopy_parameters,leaf_transmittance,0.05,dimensionless,Fraction of incident light transmitted through leaves
canopy_parameters,leaf_absorptance,0.87,dimensionless,Fraction of incident light absorbed by leaves
canopy_parameters,self_shading_factor,0.7,dimensionless,Factor for self-shading within individual plants
canopy_parameters,neighbor_shading_distance,0.5,m,Distance threshold for neighbor plant shading effects
canopy_parameters,sunlit_fraction_method,campbell,text,Method for calculating sunlit leaf fraction
canopy_parameters,clumping_index,0.85,dimensionless,Leaf clumping index (1=random distribution 0=completely clumped)
canopy_parameters,max_extinction_coefficient,20.0,dimensionless,Maximum extinction coefficient when sun is at horizon
canopy_parameters,upper_canopy_lai_factor,0.3,dimensionless,LAI distribution factor for upper canopy layers
canopy_parameters,middle_canopy_lai_factor,0.4,dimensionless,LAI distribution factor for middle canopy layers
canopy_parameters,lower_middle_canopy_lai_factor,0.25,dimensionless,LAI distribution factor for lower-middle canopy layers
canopy_parameters,bottom_canopy_lai_factor,0.05,dimensionless,LAI distribution factor for bottom canopy layers
canopy_parameters,max_temperature_gradient,3.0,°C,Maximum temperature gradient from top to bottom of canopy
canopy_parameters,temperature_gradient_factor,0.5,°C_per_LAI,Temperature gradient factor per unit LAI

# Canopy Architecture Hardcoded Constants
canopy_parameters,spherical_x_coefficient,1.0,dimensionless,Leaf angle coefficient for spherical distribution
