step,day,hour,root_depth,root_biomass,root_length,root_surface_area,root_distribution,root_density,root_activity,root_zone_volume,root_zone_layers,root_cohorts,fine_root_fraction,medium_root_fraction,coarse_root_fraction,cumulative_root_growth,daily_root_growth
24,1,23,40,0.0375,337.5268,79.5101,{},42.1909,0.5741,2.7550,[],[],0.4389,0.3914,0.1697,337.5268,299.2628
48,2,23,40,0.0375,394.2975,103.1069,{},49.2872,0.4640,3.7608,[],[],0.3731,0.4154,0.2116,394.2975,36.7358
72,3,23,40,0.0375,421.5293,119.8520,{},52.6912,0.4259,4.6139,[],[],0.3168,0.4383,0.2449,421.5293,19.8046
96,4,23,40,0.0375,487.8694,139.1730,{},60.9837,0.4120,5.2597,[],[],0.3117,0.4466,0.2417,487.8694,66.6527
120,5,23,40,0.0375,542.2107,150.8933,{},67.7763,0.4003,5.7967,[],[],0.3506,0.3984,0.2510,542.2107,43.3718
144,6,23,40,0.0375,580.5755,155.9841,{},72.5719,0.3899,5.6931,[],[],0.3445,0.4167,0.2388,580.5755,30.7333
168,7,23,40,0.0375,500.2100,149.4762,{},62.5262,0.3861,5.7876,[],[],0.2900,0.4312,0.2788,500.2100,-84.2404
192,8,23,40,0.0375,526.0492,158.2271,{},65.7561,0.3747,6.1805,[],[],0.2932,0.4356,0.2712,526.0492,25.4662
216,9,23,40,0.0375,504.1752,149.5341,{},63.0219,0.3763,5.7704,[],[],0.3152,0.4113,0.2735,504.1752,-26.3631
240,10,23,40,0.0375,564.5084,158.2187,{},70.5636,0.3816,5.9547,[],[],0.3427,0.4063,0.2509,564.5084,67.6647
264,11,23,40,0.0377,541.8408,156.2256,{},67.7301,0.3760,6.0689,[],[],0.3325,0.4039,0.2636,541.8408,-21.0225
288,12,23,40,0.0524,540.4994,160.2425,{},67.5624,0.3620,6.2237,[],[],0.3055,0.4228,0.2717,540.4994,0.9369
312,13,23,40,0.0825,516.7219,152.3417,{},64.5902,0.3727,5.7486,[],[],0.2911,0.4452,0.2637,516.7219,-35.6725
336,14,23,40,0.1274,590.1799,164.8353,{},73.7725,0.3755,6.1204,[],[],0.3325,0.4235,0.2440,590.1799,82.6516
360,15,23,40,0.1823,561.2150,157.8768,{},70.1519,0.3693,6.0065,[],[],0.3487,0.4002,0.2512,561.2150,-20.7577
384,16,23,40,0.2513,528.4429,156.2340,{},66.0554,0.3797,6.0752,[],[],0.2955,0.4258,0.2787,528.4429,-21.7112
408,17,23,40,0.3238,559.0469,167.6036,{},69.8809,0.3753,6.4860,[],[],0.2969,0.4361,0.2670,559.0469,27.7162
432,18,23,40,0.4070,535.7750,169.1468,{},66.9719,0.3710,6.7067,[],[],0.2702,0.4513,0.2785,535.7750,-16.9068
456,19,23,40,0.5012,594.1767,175.5693,{},74.2721,0.3759,6.6770,[],[],0.2900,0.4524,0.2576,594.1767,68.4767
480,20,23,40,0.5919,612.1911,176.9745,{},76.5239,0.3628,6.7870,[],[],0.3178,0.4268,0.2554,612.1911,21.2738
504,21,23,40,0.6967,620.0415,182.0528,{},77.5052,0.3636,6.9424,[],[],0.3083,0.4323,0.2594,620.0415,5.9653
528,22,23,40,0.7953,575.6309,170.9002,{},71.9539,0.3738,6.7232,[],[],0.3185,0.4105,0.2710,575.6309,-38.5256
552,23,23,40,0.9093,586.1251,172.3812,{},73.2656,0.3717,6.7693,[],[],0.3269,0.4026,0.2705,586.1251,34.8394
576,24,23,40,1.0201,568.0303,173.5092,{},71.0038,0.3645,6.7930,[],[],0.2889,0.4292,0.2819,568.0303,-10.0229
600,25,23,40,1.1379,589.9115,179.4371,{},73.7389,0.3657,7.0588,[],[],0.3004,0.4219,0.2776,589.9115,10.2828
624,26,23,40,1.2676,614.1020,179.9647,{},76.7627,0.3731,7.0812,[],[],0.3433,0.3898,0.2670,614.1020,26.3970
648,27,23,40,1.3818,605.9690,176.8959,{},75.7461,0.3622,6.9652,[],[],0.3300,0.4090,0.2610,605.9690,-9.1397
672,28,23,40,1.5124,570.8321,172.5619,{},71.3540,0.3641,6.7489,[],[],0.2983,0.4310,0.2707,570.8321,-35.8913
696,29,23,40,1.6456,561.3509,163.6742,{},70.1689,0.3640,6.5028,[],[],0.3347,0.3927,0.2726,561.3509,-3.6863
720,30,23,40,1.7909,569.1575,163.5625,{},71.1447,0.3626,6.2733,[],[],0.3286,0.4119,0.2595,569.1575,11.1230
744,31,23,40,1.9301,553.8974,163.0219,{},69.2372,0.3766,6.3559,[],[],0.3340,0.3907,0.2754,553.8974,-20.3941
768,32,23,40,2.0681,570.9311,170.5343,{},71.3664,0.3628,6.5364,[],[],0.2994,0.4221,0.2785,570.9311,22.3331
792,33,23,40,2.2194,542.7101,163.7571,{},67.8388,0.3682,6.2667,[],[],0.2845,0.4263,0.2892,542.7101,-31.7753
793,34,0,40,2.2295,550.1333,163.6533,{},68.7667,0.3670,6.2846,[],[],0.2970,0.4205,0.2825,550.1333,0.0000
