simulator,file,rows,columns,data_columns
biomass_allocation,biomass_allocation.csv,25,12,"total_biomass, leaf_biomass, stem_biomass, root_biomass, leaf_allocation_fraction, stem_allocation_fraction, root_allocation_fraction, allocation_efficiency, cumulative_biomass_gain, daily_biomass_gain, step_count, last_update"
canopy_architecture,canopy_architecture.csv,25,16,"lai, leaf_area, canopy_height, canopy_width, ground_coverage, light_extinction_coefficient, sunlit_leaf_fraction, shaded_leaf_fraction, light_interception_efficiency, temperature_gradient, humidity_gradient, wind_speed_reduction, cumulative_light_interception, daily_light_interception, step_count, last_update"
environmental_control,environmental_control.csv,25,16,"air_temperature, humidity, light_intensity, co2_concentration, wind_speed, photoperiod, vapor_pressure_deficit, control_actions, equipment_status, energy_consumption, control_efficiency, setpoint_deviations, cumulative_energy, daily_energy, step_count, last_update"
genetic_parameters,genetic_parameters.csv,25,15,"cultivar_name, lettuce_type, genetic_coefficients, cultivar_profile, trait_expressions, environmental_modifiers, adaptation_index, performance_index, phenotype_expression, genetic_variance, heritability, cumulative_genetic_response, daily_genetic_response, step_count, last_update"
leaf_development,leaf_development.csv,25,19,"total_leaves, leaf_appearance_rate, leaf_expansion_rate, leaf_senescence_rate, total_leaf_area, total_leaf_weight, leaf_area_index, leaf_weight_ratio, leaf_nitrogen_content, leaf_nitrogen_ratio, leaf_age_distribution, leaf_size_distribution, leaf_nitrogen_distribution, cumulative_thermal_time, phyllochron_adjusted, leaf_growth_stress, leaf_senescence_stress, step_count, last_update"
nitrogen_balance,nitrogen_balance.csv,25,24,"total_nitrogen_uptake, nitrate_uptake, ammonium_uptake, amino_acid_uptake, total_nitrogen_allocation, leaf_nitrogen_allocation, stem_nitrogen_allocation, root_nitrogen_allocation, reproductive_nitrogen_allocation, total_nitrogen_remobilization, nitrogen_use_efficiency, photosynthetic_n_use_efficiency, growth_n_use_efficiency, nitrogen_stress_index, luxury_uptake_factor, nitrogen_pools, nitrogen_concentrations, uptake_rates, allocation_rates, remobilization_rates, cumulative_nitrogen_uptake, daily_nitrogen_uptake, step_count, last_update"
nutrient_models,nutrient_models.csv,25,13,"solution_ec, solution_ph, nutrient_concentrations, nutrient_uptake_rates, nutrient_availability, root_nutrient_pools, shoot_nutrient_pools, xylem_flux, phloem_flux, cumulative_nutrient_uptake, daily_nutrient_uptake, step_count, last_update"
ph_model,ph_model.csv,25,16,"ph, ph_stability, total_alkalinity, carbonate_concentration, phosphate_concentration, buffer_capacity, ph_drift_rate, ph_adjustment_needed, nutrient_solubility, iron_solubility, calcium_phosphate_precipitation, magnesium_phosphate_precipitation, cumulative_ph_adjustment, daily_ph_adjustment, step_count, last_update"
phenology,phenology.csv,25,12,"current_growth_stage, development_index, thermal_time, photoperiod, bolting_risk, days_in_current_stage, total_days_from_planting, stage_progress_fraction, cumulative_thermal_time, daily_thermal_time, step_count, last_update"
photosynthesis,photosynthesis.csv,25,12,"net_assimilation_rate, gross_photosynthesis_rate, respiration_rate, light_use_efficiency, co2_uptake_rate, cumulative_carbon_gained, daily_carbon_gained, leaf_temperature, temperature_stress_factor, light_stress_factor, step_count, last_update"
respiration,respiration.csv,25,12,"total_respiration_rate, maintenance_respiration, growth_respiration, leaf_respiration, stem_respiration, root_respiration, cumulative_respiration, daily_respiration, temperature_factor, biomass_factor, step_count, last_update"
root_system,root_system.csv,25,17,"root_depth, root_biomass, root_length, root_surface_area, root_distribution, root_density, root_activity, root_zone_volume, root_zone_layers, root_cohorts, fine_root_fraction, medium_root_fraction, coarse_root_fraction, cumulative_root_growth, daily_root_growth, step_count, last_update"
root_zone_temperature,root_zone_temperature.csv,25,21,"root_zone_temperature, air_temperature, optimal_root_zone_temperature, temperature_deviation, growth_factor, nutrient_uptake_factor, water_uptake_factor, photosynthesis_factor, root_metabolism_factor, thermal_stress_factor, diurnal_temperature_variation, heat_generation, ambient_heat_exchange, pump_heat_generation, root_respiration_heat, thermal_response_rate, temperature_stability, cumulative_heat_generation, daily_heat_generation, step_count, last_update"
senescence,senescence.csv,25,22,"total_senescence_rate, age_senescence_rate, stress_senescence_rate, developmental_senescence_rate, total_remobilization_rate, nitrogen_remobilization_rate, carbon_remobilization_rate, phosphorus_remobilization_rate, potassium_remobilization_rate, senescence_stage_distribution, senescence_type_distribution, senescence_factors, remobilization_efficiency, recovery_rate, max_recovery, stress_history, cumulative_senescence, daily_senescence, cumulative_remobilization, daily_remobilization, step_count, last_update"
stress_models,stress_models.csv,25,14,"temperature_stress, water_stress, nutrient_stress, light_stress, ph_stress, salinity_stress, integrated_stress, stress_severity, acclimation_level, damage_level, cumulative_stress, daily_stress, step_count, last_update"
water_uptake,water_uptake.csv,25,14,"water_uptake_rate, transpiration_rate, evapotranspiration, water_availability, root_water_potential, leaf_water_potential, hydraulic_conductance, crop_coefficient, cumulative_water_uptake, daily_water_uptake, cumulative_transpiration, daily_transpiration, step_count, last_update"
